reviewID,content
Allerton_627a2a24-f241-4073-ae40-8edbd82210f1,"Its safe, but one can never truly be fully safe."
Allerton_277df64b-fee8-4810-b7a4-cc5dbefdd1f4,"Nothing major ever happens in the area i live in."
Allerton_1e128283-ae58-4ec9-a8da-a7f314197058,"Nothing special but the community itself."
Allerton_7dc419a5-f4c2-4f2b-aabc-9ced0147caad,"Isn't as bad as it seems,they are opportunities."
Allerton_0a869fb6-70cf-433a-a846-974e44ccccd5,"As it's recognized the community that i am currently in does need some improvements, but at the same time it may be hard to find such a unique community with all that it got during this time period in the U.S."
Allerton_043e4842-31ce-4b33-9e69-5f2d2b3c9d5d,"the area is generally safe"
Allerton_04812b56-a3cf-4a76-86fc-8e8dd4311cdd,"the weather here is moderately okay"
Allerton_4ba199a9-148e-4d6c-8c70-2e753ae2cc7e,"The jobs in my area are more focused on the educational/ qualificational aspect than just giving people a chance to learn and pick up on the qualifications needed for the job"
Allerton_e4145894-2ec3-438f-bc27-f02596ec2b85,"Some of the smaller stores are good at remembering customers. The bigger stores are generally more busy and get alot of visitors"
Allerton_f470eb3d-9779-436e-85d7-24bad0864b1e,"This neighborhood consists of mostly apartment buildings."
Allerton_e103e115-4149-4ca8-8269-9dbd753c6f59,"The people in this area a  very diverse and very accepting of each other."
Allerton_d4baa11e-bca9-4a66-acf5-84d22b23ec3c,"You really do not have to go far to get almost anything you need."
Allerton_15da35ad-7ac6-43b8-b3d3-8d30de1e8e7c,"The average fast foods are located in the area.  There is one Cuban restaurant and one Spanish restaurant."
Allerton_da66b488-2c01-4656-9de6-05da4312e15a,"There is the park to run in and there is a gym in the area."
Allerton_6cc5f384-62bd-4c3a-a4f2-bcef64bb0823,"The only crime is car vandalism.  Car mirrors are always being stolen and there are some car break-ins."
Allerton_c1fa7f49-508c-4a7d-905b-7194bae3381c,"The parks in the area a nice but often crowded in the summer."
Allerton_698035c8-28ee-4bf9-9de6-43a3d3eb96a9,"This is a residential area and jobs are limited."
Allerton_49f19bd7-8631-43e9-932d-4d4da16c02e1,"The transportation here is very easily accessible"
Allerton_9f5ef91a-8ff0-4131-b7c6-623d0498c2f4,"The local businesses around here are okay at best"
Allerton_d2b05cfb-9747-46a6-a600-55e18b99ac8e,"The area here is very quiet and peaceful"
Allerton_f18c530e-6b58-4305-a711-5a2db027522e,"The neighborhood is pretty good. Very friendly and people know each other. Could be safer though but overall a pretty nice place to live in"
Allerton_61c3b55c-326e-4f19-8500-f7cf6b99c025,"As long as your standards aren't too high you will be able to find a job."
Allerton_3512c3ee-e5a7-4bda-a6d9-5c0b4bca72fa,"There are a lot of main streets with a lot of stores"
Allerton_af365df5-0b88-4399-a857-90f5aff219e6,"All the food is great and there are lots of different options"
Allerton_c56f8d99-1337-42a4-8e90-ca9743b7ee4a,"I have not had any problems, but I know people who have."
Allerton_e7cf8981-4e60-4783-80ba-6688305a79fc,"The weather isn't an obstructing factor for the region."
Allerton_38c27a30-1bc0-4466-a893-5bd886e49906,"Improvement needed in this area. In general, a majority of the restaurants are fast food chains or two cultural cuisines. The food is basically the same in the area."
Allerton_28121c44-32c4-4ae1-97de-9225c4a87438,"State representation is okay, could be better. Law enforcement is on time."
Allerton_42934807-6700-4fb2-a35b-65cc187cc6f8,"The most popular thing to do in this area is shop, however, many people go to Manhattan instead, but that might change given the new mall that is about to open. The next most popular event is The Bronx Zoo and Botanical Garden."
Allerton_479e3b45-b11b-4e26-8989-c8f6007e0620,"I am not too certain about property cost and best/worst areas of living."
Allerton_72c4b9a6-3ced-4144-901d-0c7460f81836,"The familiarity of the inhabitants is what makes the community strong. We do have a mix of many types of people but over a while we become like a mosaic. There are Afro-Caribbeans, Latinos, Middle Eastern, Asian. But the majority are Afro-Caribbeans and Latinos."
Allerton_162b9aeb-0e42-4e81-8b18-c0ef083e11e6,"I see minor appropriate improvement where need be. The sense of community and comfort would make me live here again."
Allerton_88d0cf54-f234-4748-812a-f85457a68a82,"For the busy areas that we have, transportation and safety are controlled well. Rarely do we have incidents and recently the district has been doing things to resolve that such as installing traffic signals, reducing roads to one lane/bike lane/parking lane/turn bay which has made a tremendous difference."
Allerton_1fed258f-8a77-4880-b617-76459c760f4b,"Within the past few years they have been cleaning up parks so I suppose they have been doing a good job to take care of the environmental conditions in the area."
Allerton_20bdd0e2-bf6e-49c8-844a-cbd4ee69b3b1,"Many people in this area are friendly and know each other good enough. It is a family environment considering that many of us have been here for years."
Allerton_1bc3afc0-d279-44d8-86fd-0df3ac1ec112,"In the area, the police department have enforced new regimes to keep criminals and loitering at a low by a certain time. One can find a police vehicle on the end of each busy road at night. It seems a bit excessive since other areas of the Bronx need that protection more than this area, but there is a visible affect since people are no longer on the streets at a certain point."
Allerton_41997ff7-8f8a-47ef-9798-f55ea014e630,"A new mall is being developed which will supply work. There is a range of employment from self-employed, day-to-day workers to bankers, doctors, and teachers."
Allerton_d6f0386f-a56a-4713-9047-5f85ab36704f,"There are gymnasiums in the area, but not many of the older folks utilize them. However, on average you can find many people doing yard work. Although we have no healthy restaurants, due to the Caribbean cultures, one can find that many people eat their cultural health foods. Thus the conditions are okay."
Allerton_644e3975-42bc-4789-9344-34e5c6a25436,"lot of apartments but other than that it is great"
Allerton_a14f716f-96ef-4702-8906-423ac04166c5,"not really much negative stuff you could say"
Allerton_67df5938-c27a-4ad4-a9bd-a549f6512417,"its not many jobs here that i can find"
Allerton_63c45b35-4b42-4eaa-924c-d8cbbacace6d,"Close housing. Attached houses here."
Allerton_ccd3c1c8-a918-4f82-8f59-5e540926d445,"The job options are available, people just have to look for them."
Allerton_b5be5594-1ec9-4324-b1cd-020764fc21ff,"Royal Coach Dinner is a great place to eat! The staff are great and the food is good. Customer service is their priority."
Arden Heights_6956850d-04bd-4739-8e7c-e050031a0449,"There aren't many abandoned buildings in the area"
Arden Heights_17603cc6-b7a7-4739-8635-b04ea6d5bdb6,"People tend to move out of the area and I want to."
Arden Heights_d47bc48e-c954-4e0c-8e95-e6d60adb1ef6,"I have never noticed any crime in my area"
Arden Heights_7c9f0dae-283e-41eb-b3f8-aef0e3011e87,"There is crime, but it could be worse"
Arden Heights_0b5529c0-4ba9-4d24-aeb2-6bbb5701015c,"The area that I live in is comfortable and calm."
Arden Heights_86e0a76d-5534-48a3-a87c-a78d3f4d2277,"ive never personally had a problem with crime in my area."
Arden Heights_fb1045e4-e915-42a4-8fcd-590f6cb4d796,"Staten island is a very average and boring place to live."
Arden Heights_448b0187-2383-420e-8b7b-3dee9736dcf4,"I live in a safe neighborhood with little to no crime."
Arden Heights_25628cb5-d655-44f3-aded-02ce57327600,"good atmosphere, nice people, good stores"
Arden Heights_3816d8fe-7ed0-46ec-a1a1-d8ce7aed7123,"I would never choose to live here because of pollution and littering everywhere and terrible transportation for those with no car or license."
Arden Heights_68fe57bc-d0f9-44f1-b33a-959384a98f50,"Local parks provide a peaceful scenery with trails and wildlife."
Arden Heights_7d1cab2b-69f2-45d0-be8d-3902ea05f95b,"The homes are well kept for the most part and families take pride in how they take care of their homes and renovate them for upping purposes."
Arden Heights_fc6c362a-3f11-4ea5-94f2-1d0290c8ba1d,"People tend to move here and enjoy the area since it is quiet, peaceful, clean, well kept, and the aesthetic values are nice as well."
Arden Heights_19e99c31-f229-455e-80e6-d492d4679efb,"The crime rate here is low and not many crimes are heard of especially in this area so it is not much of a concern at all."
Arden Heights_8d9d8103-597b-405b-94d9-18291add9ebc,"At times, it is either really cold or really hot. The summers are perfect regarding temperature and winters vary. At times, the snowstorms can be continuous and dreadfully cold and bitter."
Arden Heights_5bf9b83a-b89f-4259-9cca-d2e1d307d2d6,"The restaurants here are of a wide variety including Applebees, Panera, TGI Fridays, Outback, Z One, Z Two, Chinese, Japanese, Pizza places, Italian Food, Helath food shops, Ice cream Stores, Sandwich places, etc."
Arden Heights_600d9d10-ec82-4eab-8ed0-93eb4d13df9d,"I believe the employment is okay. For some, it is easier to find jobs due to their degree they have or past experience. For others, it may be more difficult given their current situation and maybe not easy access to the job field they want without certain prior experience."
Arden Heights_5acf124e-e593-40cb-a1d0-ae982fdc1ec7,"The local business have a wide range of products and are usually a one stop shop in that going to a larger supermarket is not needed 99% of the time if you are already at a smaller shop."
Arrochar_d76254f7-e437-4d28-9250-ba43f4dd5f97,"Barely any crimes at all."
Arrochar_8bead24c-7c03-4483-b04e-c4c185cad547,"Good neighborhood. Barely any crimes at all. Very quiet and friendly neighbors."
Arrochar_d9eb994a-53ae-401b-b951-055a78e4ba79,"Staten Island has nothing to do for kids. The roads are in bad shape and it is overcrowded."
Arrochar_7498406f-be12-42eb-8c76-7c3ccc964fb5,"There is a variety of stores and some restaurants."
Arrochar_1d568cef-e0e9-4416-a581-2854a3f12146,"There is a beach where I live so when it is a warm day it will look nice."
Arrochar_a5f997b8-279c-4455-bf4b-7793ee2857c6,"There would be loud arguments on the streets at least once a month but nothing serious and crime related."
Arrochar_52f56663-8630-482b-ac9b-38d95c300ebe,"Easy access to NYC, Brooklyn, and New Jersey. Good opportunities in health care."
Arrochar_94e4dd57-c6f6-4668-bd95-930043a07867,"Urban area. Businesses are plentiful just hit or miss."
Arverne_105cbefc-4fcd-4199-9770-d764671036f4,"I live in the area. They should make jobs more readily available for the youth. I would also encourage clean and safe playgrounds to include actual basketball hoops and not just the ring"
Arverne_46695cde-3d5e-49af-b87d-057b917cbe9c,"I like the fact the it is now less violent then in the previous 5 years and also that it is under reconstruction. It is now becoming more family oriented."
Arverne_efa02cd8-f279-4dc8-a2e4-8c1af54c4878,"I've been living in Arverne for three years. A lot of changes has to be done. After hurricane Sandy, there were many damages. I appreciate the things that were fixed such as the beach and trains. The buildings are the main problem. People sometimes never help themselves. Our floors are never cleaned and maintenance comes once a month. The sanitary in the lobby is appalling."
Arverne_c444214d-d77c-4e24-a257-112399eac666,"The community is filled with many public schools and community centers for the youth. There are several restaurants in the area that offer a wide variety of foods such as Chinese, Jamaican cuisine, Italian etc. There aren't many options for 'healthy living' such as whole food markets. The commute is extensive and far away from the other boroughs. "
Arverne_68dc1e75-fafd-49c7-a5c9-4e121a5d3dac,"I enjoy where I live . It's a quiet calm neighborhood by the beach near family and friends. It's near New York City for jobs and easy access to public transportation."
Arverne_89473f5a-f9c4-4acf-92ab-e7c04c099403,"The people do not engage in community activities."
Arverne_8ea3b45c-0492-4ea5-8306-d4fcdbb0faff,"My neighborhood has been neglected by the city."
Arverne_94e1d859-6507-4ceb-91fe-239ac0e77e87,"the streets are being repaired and it's taking forever. We aren't allowed on most of the beach. the houses are bad.."
Arverne_4f9bedb2-904b-4cbd-aafa-0ecfec8c3453,"its okay

not too loud

niether is it quiet 

could be a little safer"
Arverne_fd06d9b7-e77b-4adc-a2d2-cfa1767e12ea,"the housing areas are fine. the projects can be a little better but other than that everything else is fine.   the people are take care of their homes. most of the people are hiome owners."
Arverne_d4931682-0845-49f5-83d3-0499e979106d,"not that many crimes go on in my neighborhood."
Arverne_24ea71de-68db-45d2-a88b-b5ca892a2142,"our community members are great when we need help we help out and look out for one another sometimed it might be a little messy but we get most of the work done."
Arverne_f8e04d80-e257-4f51-af25-5dd88c65bda7,"although we only has one major weather misfortune which was hurricane sandy everything else weather wise is great."
Arverne_d00cf8d4-a54e-41ea-a40e-4c781eb1c463,"the area has come up since I moved into the rockaways. The food chains has brought a lot of positive energy into the living environment since a lot of kids are not fortunate enough to go to places such as tai restaurants its great to have kids be able to go to these restaurants."
Arverne_750d166d-6e9a-43f0-84a3-5cae71c8e33b,"due to the people in my neighborhood their is a lack of teens knowing about job oppturnities."
Arverne_5dba889c-a90d-4d1c-82d9-a1c3ab2deb1d,"The business stores in my neighborhood is okay. they do have their times where they do fall short and are not as clran as they can be but they are doing a fair job"
Arverne_9ff00cb5-ac9d-47bd-8cca-066f9f529b9b,"I want to move somewhere else as soon as possible."
Arverne_65a5fb3d-7b3f-487e-b3cf-cccafe742c28,"I think the local businesses are okay. Obviously because of the surrounding area, it is going to have a bad vibe to it, but I am use to it by now."
Arverne_35815279-7c1a-4ef1-a605-bfd1efbda2e5,"There are people with positive attitudes but for the most part that is not the case. I know the reason is beacause they are struggling too much, that they don't have the ability to put up a fake smile and help others. I understand why people are negative. In a class I took, I learned about maslow's hierarchy of needs which list needs in order and saying that people can't move up a level unless their basic needs are met. Based off of that concept, it proves that people can't help each other, and just be happy, until their basic needs are met, which includes, having a stable home, food, and financial security."
Arverne_950f042f-4c80-4863-9303-49f16e1531fb,"When it comes to quality food, the area sucks. Everything is fast food, but being that it is cheap, it is the best option because people can't afford paying for anything else. There are a couple of spots for getting a drink but thats not as important as having a healthy meal everyday for a parent and their children."
Arverne_3a34d060-751d-492f-a923-0c3bbdf3ac86,"People do have jobs here, but I also see alot of homeless people just walking around living on the streets. The jobs offered in the area are jobs that you expect teenagers working at. Instead, these are the same jobs that adults, who have families to feed, and bills to pay, are working at. It's sad that there aren't enough job opportunities out there for people."
Arverne_7a8805dd-981d-4411-a633-462ea1757608,"I hear gunshots at least once a month. I'm sure it is worst in other areas, but being that I'm already use to hearing it, I know that the crime rate is very high here."
Arverne_38a250c5-7506-4ba1-a25b-1a5c5a4d4833,"Some days, the weather can be very bad causing delays in schedules. Other days, the weather is very nice leading to trips to the beach and doing things outside."
Arverne_9f56864c-9b76-4251-b02e-fe3dca1e10eb,"Most people in the area are not currently employed. Most of those who are  work outside of the area."
Arverne_da45f2c8-5ec9-4851-b223-1b3c17e81471,"I really benefit from the local businesses here in Far Rockaway. At times, I even find items that are not available in the popular stores. I also find that the prices at the local stores are cheaper than the other popular stores."
Astoria_5a3c03d8-6e73-4f7c-8058-57987cc89fd3,"Astoria can be described as a family favorite and yet a neighborhood appropriate for all ages. You can find anything and everything, a little manhattan. In the morning you can take a run to Astoria park and enjoy views of the city while taking in  fresh air thanks to the vast green scenery. You can grab lunch on 30 Avenue and Broadway. Astoria offers a variety of foods, local and chain restaurants. Lastly, for an evening out you can find pubs, lounges, and even dance parties! One of the safest places, perfect for families!"
Astoria_faca38f0-f3eb-49a0-b291-dae956dae253,"This is a very young, fun area. Great for students and young professionals. Also family friendly. Real estate is very expensive though. I wish rent was more affordable. If you have roommate then financially it is more convenient. Affording it by yourself can be a little challenging."
Astoria_fa1f704b-04b6-44a6-9f09-d609c443aff5,"Great area with plenty of restaurants and diversity.  Unfortunately is has become gentrified which has raised the costs of living and forced out a lot 'old neighborhood' establishments."
Astoria_bac1d4af-4dd6-4201-9204-893c37799f18,"Astoria is a great and friendly neighborhood. Perks of the neighborhood include great restaurants, nightlife, and small businesses."
Astoria_4a27a3dc-19bc-4e43-9e7b-2a25799d58f1,"It is a  neighborhood with lots of restaurants and bars. They even have 24 hour food delivery service at the diners. Lots of dogs and young people. They have a big astoria park where they have pools opened in the summer."
Astoria_866abb3e-9e7e-4ca0-9e42-91eef06d60c8,"Astoria is a quaint little neighborhood that is also known as Long Island City. My favorite spots to visit are the Astoria Branch Library which looks like a little house, the Museum of the Moving Image, and the Kaufman Studios. There is also the ever scenic view by the East River pathway and Astoria Park. Socrates Sculpture Park also hosts things like yoga, capoeira, and my favorite the farmer's market on Saturdays during the summer. They even have their own quirky pieces of art. There is a wealth of things to do in the neighborhood, and people are relatively friendly."
Astoria_8df9aff6-3faf-455b-95dc-e6f91ecfb4d8,"I've been living here for 4 years and there is a lot I love about it. The community feels safe, I love how close the commute to Manhattan is, my family in jersey is also a short 30 min drive away. Astoria is clean, convienent, diverse and full of bars, restaurants, parks and more."
Astoria_38b092c1-5ca0-4965-b390-cb21dd648a04,"Astoria has become the Williamsburg of Queens.  You can find any type of cuisine from around the world in Astoria.  Parking is not friendly, but there is access to the N/W trains to take you where you need to go.  Businesses are in walking distance of resident life.  Astoria Park is wonderful with a gorgeous view of the city and great place to watch the sunset behind the bridges.  Astoria's school district isn't the best in NYC, but they are above average."
Astoria_978d1315-68aa-4017-9b57-3d6c47ffc040,"Astoria is friendly, lively, and exciting. People come to enjoy the marvelous restaurants, the social people, and beautiful parks."
Astoria_ad6ed65f-4b53-4fd3-a3fc-2259cc26b74f,"Astoria is a neighborhood with the perfect mix of great food, diverse culture, charm/character, and safety.   Conveniently located about 20 minutes from midtown Manhattan (by public transport or car), it is perfect for commuters who want to be away from the hustle & bustle of NYC."
Astoria_8c760c5b-6741-41c9-8488-e43a8d19229b,"Born and raised in Astoria, and couldnt have thanked my parents more! I love Astoria, super close to Manhattan and great diversity. Everything is so convenient and every one living in Astoria is  a little family. A very close community."
Astoria_2cf32947-399e-4f0d-81ad-ebea38cc7c95,"I love living in Astoria.  It has been my home for 7 years.  It is warm, friendly and active with great restaurants.  The apartments are spacious and you have everything you need within a few blocks."
Astoria_239b489d-d4ba-4766-b73e-4a7af1d7ad5f,"Astoria, New York is a family friendly VERY diverse neighborhood! There are tons of different types of restaurants.  With the subway so close Manhattan is only 15 minutes away!"
Astoria_e0528f04-bad4-449f-accf-0a314c790e19,"Astoria is one of awesome city in New York. Huge fresh healthy grocery markets are all over, domestic coffe is famous  in 30th Ave restaurants. At the night, lots of different style pubs are available for neighbors."
Astoria_dad3a7c3-7b9c-4ffc-8256-97c7b7fea910,"I love my neighborhood! Astoria is one of the most eclectic neighborhoods that NYC has to offer! The food is incredible and incredibly diverse. Visit the Museum of Moving Image to learn about the history of cinema and the neighboring Kaufman Studios. Then stroll to eat at any number of restaurants to brunch it up! Burn off those calories walking to Socraties'Sculpture park and bask in the warmth of the sun while browsing the outdoor art exhibits."
Astoria_da408cc0-54f2-4e1d-8f86-1434dcc8be17,"I've lived in Astoria for three years. I absolutely love the neighborhood and all it offers. I still go back to visit with my old roommate and hit up some of the local eateries. My experiences there in Astoria will always remain to close my heart. After all I was fortunate enough to meet the love of my life there."
Astoria_ea70b1a2-3f01-4c7b-96f8-44bdb446d7ce,"I have lived in Astoria almost all my life. It's a quiet and lively neighborhood all at once. There are places to go,eat, drink, hangout, and parks to spend time at. It's just 20 minutes from Manhattan, and although the area is getting filled with young professionals, its Greek roots still remain."
Astoria_83536b7d-bd43-42c9-abf9-224c28a05b29,"Astoria is great place tor reside. The more interesting part about Astoria, is the diverse population. Here people can experience different cultures, languages and religions. The transportation is also great. It is located in advantageous place where commute is easy to all boroughs of New York City. There are also all type of restaurants meaning Asians, Middle Eastern, European, American, South Americans and central Americans. The only problem can be the raise in the rents."
Astoria_a33b94bf-8011-487c-b758-dd49fe03f2ca,"I like pretty much everything about Astoria. The only thing I don't like is how many people are moving in and driving up rent because they don't realize how much rent should be in Astoria, and now some huge buildings are going up that aren't in the style or spirit of the neighborhood. It's not a big party neighborhood but I like that it is all families."
Astoria_aaa15810-baac-42a4-bcf2-96fe7b1021e2,"Astoria is the best place to be. I absolutely adore this neighborhood. Everything you need will be there. It is the ideal location for anyone - a student, a family, adults, or even elders. The train station is 5 minutes away from my house, there's a supermarket 10 minutes away, a middle school, 2 elementary schools, 2 high schools, grocery stores, restaurants, and just about anything! You name it, we have it! I also love some of the aesthetic views in Astoria, especially on the train! It may not have huge buildings or skyscrapers, but just the simple houses are enough to make my heart melt. I have a connection with this city, and I am so glad that I can live here."
Astoria_dc6ba78c-1645-46a2-bc8a-4f0182cbc445,"I like Astoria because you can find everything in every corner, no need to go to the city, and have many amenities year round, as well as 24 hours services like supermarket, Pharmacy, ans restaurants to name a few."
Astoria_c3ee40a7-aa98-4f8f-819a-9c91716fb736,"Astoria is a great place to live in and even nearby because of the convenience they have everything you may need is at reach. Including most modes of common transportation. The only thing that may be lacking would be the pricing/ living cost because of how everything is so close the prices are a stake of being quite high."
Astoria_604e558c-2aaf-4a0d-916a-ecaa17133603,"It's a wonderful, intergenerational, multi-cultural neighborhood. Delicious food from all around the world. Affordable rent for reasonable spaces."
Astoria_46406642-be47-4f8b-98cc-20121730c1a6,"Astoria Park is great, with a newly bike lane and beautiful waterfront view. I highly recommend it during warm months as a place to exercise, run or even walk around. The sunset by the water is stunning. Neighborhood is safe and clean. Close to major subway stations. There are good and affordable restaurants everywhere."
Astoria_00e447ca-96c7-4c58-b7e6-3906b4c8b6f3,"Pretty exciting place to be. Always a lot of things happening. Nightlife is the best around Broadway and Steinway Street. Lots of varieties in restaurants, probably could eat in a different place everyday for years. But with this increasing variety comes the gentrification, which is making it harder for us not-so-rich people to live in the neighborhood."
Astoria_abe52c87-0340-4daf-8027-15de32287b85,"Astoria NY is such a clean and lovely place to live, everything in this area is full of beauty from Astoria park which is accompanied with a stunning view of the east river and the Hells gate and R.F.K. bridge to the old school looking houses . Astoria feels like its the center of NY to me because it is very easy and quick to get to the surrounding boroughs and Manhattan is only a few stops away on a single train. The diversity of culture is also a great feature of astoria where there's endless amounts and varieties of international food and also a few classic american diners."
Astoria_67c68063-9f82-41da-aba7-5ea69abedbbe,"I love Astoria . It's a diverse community , with so much culture and love it brings a smile to my face to be apart of such a different community. We have many different restaurants, shopping areas , and we are just minutes away from the city. I personally lived in Astoria all of my childhood and I must say , I always felt safe and secure. Astoria is also know for its creative art work we display on certain store gates, there's community service going on all the time. Astorians always find away to give back to the community whether it's painting bridges or cleaning parks , Astoria is filled with loving caring citizens."
Astoria_03322179-e2b0-4ab8-9d88-ae4cb16fca73,"Astoria, Queens is a very interesting neighborhood.  Although Astoria is traditionally a Greek, Italian hamlet, it is very diverse in culture. Any type of food you want, you will find in Astoria. The real estate is great as well! Just three years ago a studio would go for $1350, the same studio would be $1675!, Some apartments have great views of the Manhattan skyline! There are plenty of bars and restaurants and local mom and pop shops within walking distance and if you ever wanted to venture into 'the city',  It is about 20 minutes to midtown by the subway! Astoria is a great place to live! Still, the charm of Sunday stoop sales, and walks in Astoria park are enough to keep me there! A true neighborhood gem! Thank you, Astoria for being so awesome!"
Astoria_2d4cafc5-09f3-4108-b6d8-20ce7805c0e6,"Astoria is filled with so many different cultures that almost every street has something that represents a culture."
Astoria_3b2c265d-afc9-42df-bebe-7eb0851a288d,"There is so much diversity in Astoria. You can walk around Steinway Street and go from Egyptian, and Turkish restaurants and cafes to Greek, to Colombian, all within a couple of blocks. The subway runs well and its very close to the city too."
Astoria_0172f264-5192-42d5-a606-dab038afe25a,"Very diverse and multicultural. Great food choices, with many authentic food options available. You can explore any culture you want regarding food, traditions, holidays, language, etc."
Astoria_74ed6b45-c8fd-4efe-8f5f-34a7e7c9725b,"The neighborhood is fairly quiet, affordable, and safe. The access to public transportation could be improved. "
Astoria_3d73661b-76fa-4ebf-bbb6-ca9af60fb1d0,"My neighborhood is changing rapidly. There has been a large group of people who can't afford to live in Brooklyn moving here. That means a lot of new stores and restaurants and a new energy but it also means more crowded streets and subways and very expensive houses. Many of my friends, who have also grown up here, won't be able to afford to stay here when we graduate from college."
Astoria_8c9c5389-41f6-4404-91d0-b87f14bcdac7,"I love the neighborhood. Very safe and calm place to live in. Transportation nearby. I literally don't imagine myself living some place else. The only cons is that rent is expensive."
Astoria_7df8095b-f1b2-47d3-b4f8-638a404f8c9b,"The community of Astoria is very friendly. It is an international melting pot. It is friendly. It has full access to public transportation. It is very close to the New York Borough of Manhattan, New York city. there are many young adults living here."
Astoria_f162d61f-4c08-4743-a2ce-73ef9d9b8bdd,"The prevalence of crimes in Astoria is low. This area is safe. The police presence is highly visible. I have no crime or safety concern for Astoria."
Astoria_bb86044b-4ae5-4eb6-8d3c-4b7ff5e10388,"I have live in Astoria Queens since 1980. I have lived in other parts of New York City, but I have settled down in Astoria because I love the safe lifestyle here.  It is an up and coming City, with a lot of young individuals living here, which is affordable and close to New York City of Manhattan. There are many different cultures living in Astoria. I love this diversity to see the world from a few blocks away. There are many neighborhood diners and many landmarks to visit."
Astoria_a00940b5-f391-4a4b-bd89-fd6387499495,"lLiv ed here for years and the safety is great, crime at a minimum."
Astoria_7f8d3353-d0c6-4535-948b-3372c8ea2aad,"Astoria is becoming the new it borough. Its amazing!!"
Astoria_d7a43157-ca14-4258-a8c6-3563d9cd3fa8,"I've yet to witness or experience any crime in this neighborhood."
Astoria_cee453fc-a7ec-4b45-a8ff-9911551bb37c,"Absolutely love living in this diverse neighborhood where transportation, restaurants, and nightlife are all within easy walking distance."
Astoria_fe4ff8aa-6585-4a10-8f27-da5a36c7821c,"I personally do not like Queens because of the traffic, there are a lot of nasty people and the tightness. You do not have a lot of personal space, everything, meaning the buildings, are too close too each other. I prefer to live in Long Island because it is peaceful and you have your personal space. The only bad thing about Long Island is that you have to drive every where."
Astoria_869412fd-cb5a-4baa-8391-8a2cdd6d27b6,"The housing are great overall, however, can be too expensive for some if they don't have job with good pay. The exterior may look the same for most houses, but the interior are always excellently designed."
Astoria_a3b6eae0-caac-423b-b535-57966c06b7df,"Everyone is friendly and occasionally there are some disruption, however, for the most part, people get along fine."
Astoria_924636db-b167-47fd-b0d8-68de675431f4,"The crime rate is unfamiliar to me, however, I'm sure it's under control."
Astoria_f341f555-3721-4bfe-8919-5163face97da,"Astoria is the place to be! It's packed with diversity and with everything near by, there's no excuse to not step out of your home. You can find all kinds of people, place and things whenever. The friendliness and conveniency is what makes this the perfect place. Also, with easy transportation and parks, traveling is more adventurous."
Astoria_0133843a-e677-45ed-a791-a8ec693e50be,"properties are often run-down, dirty, small, and over-priced

no yards or land. usually no parking."
Astoria_98599dc3-7b77-4a04-8e98-b8d493e0b443,"People are NOT friendly and keep to themselves. I often think if I were attacked on the street in broad daylight, no one would flinch or call for help. People mind their own."
